,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,VWAP,Average Price,Day_Perc_Change,Trend
115,2019-05-13,1136.59,1145.24,1151.97,1125.5,2280000.0,5,2019,1163.1125574721605,1139.825,0.010427964368899367,Slight or No change
116,2019-05-10,1167.64,1168.84,1176.28,1146.37,1580000.0,5,2019,1163.1544870797586,1164.7825,0.02731855814321804,Slight or No change
117,2019-05-09,1167.97,1162.6,1174.07,1154.64,1480000.0,5,2019,1163.1959026599857,1164.82,0.00028262135589729453,Slight or No change
118,2019-05-08,1170.78,1177.29,1184.27,1167.63,1280000.0,5,2019,1163.2518983917137,1174.9924999999998,0.00240588371276651,Slight or No change
119,2019-05-07,1178.86,1185.81,1194.77,1165.0,1830000.0,5,2019,1163.414933794255,1181.1100000000001,0.006901381984659727,Slight or No change
120,2019-05-06,1193.46,1172.0,1195.43,1171.15,1590000.0,5,2019,1163.685159903885,1183.0100000000002,0.01238484637700843,Slight or No change
121,2019-05-03,1189.55,1177.41,1191.4,1173.55,2080000.0,5,2019,1163.9859407451506,1182.9775,-0.003276188560990767,Slight or No change
122,2019-05-02,1166.51,1172.6,1179.38,1158.33,2250000.0,5,2019,1164.0172974211107,1169.205,-0.019368668824345292,Slight or No change
123,2019-05-01,1173.32,1197.5,1199.25,1171.67,3720000.0,5,2019,1164.2045251590873,1185.435,0.005837926807314098,Slight or No change
124,2019-04-30,1198.96,1190.63,1200.98,1183.0,6660000.0,4,2019,1165.4132912319294,1193.3925,0.021852521051375584,Slight or No change
125,2019-04-29,1296.2,1280.51,1296.97,1271.71,3620000.0,4,2019,1167.8398104026462,1286.3475,0.08110362314005481,Slight or No change
126,2019-04-26,1277.42,1273.38,1278.91,1265.0,1360000.0,4,2019,1168.5983283249525,1273.6775,-0.014488504860361018,Slight or No change
127,2019-04-25,1267.34,1270.3,1272.8,1258.0,1570000.0,4,2019,1169.3811059738691,1267.11,-0.00789090510560364,Slight or No change
128,2019-04-24,1260.05,1270.59,1274.0,1259.81,1170000.0,4,2019,1169.9136117248984,1266.1125,-0.0057522054065995976,Slight or No change
129,2019-04-23,1270.59,1256.64,1274.43,1251.97,1590000.0,4,2019,1170.7107843379224,1263.4075,0.008364747430657404,Slight or No change
130,2019-04-22,1253.76,1236.67,1254.34,1233.37,954420.0,4,2019,1171.103649371677,1244.535,-0.013245814936368117,Slight or No change
131,2019-04-18,1241.47,1245.0,1245.94,1239.41,1240000.0,4,2019,1171.5334767096476,1242.9550000000002,-0.009802514037774324,Slight or No change
132,2019-04-17,1240.14,1237.0,1245.1,1232.9,1520000.0,4,2019,1172.0433667738405,1238.785,-0.0010713106236960313,Slight or No change
133,2019-04-16,1231.91,1230.0,1235.98,1225.04,1130000.0,4,2019,1172.3723228254164,1230.7325,-0.006636347509152207,Slight or No change
